,avg_rating,title,genres,release_year,relevant_tags,relevan_tags
2317,3.6422699740409574,Grindhouse,Action|Crime|Horror|Sci-Fi|Thriller,2007,"blood, bloody, gore, gratuitous violence, violent, gory, violence","blood, bloody, gore, gratuitous violence, violent, gory, violence"
2318,3.4546943231441047,Meet the Robinsons,Action|Adventure|Animation|Children|Comedy|Sci-Fi,2007,"animated, animation, cartoon, computer animation, future","animated, animation, cartoon, computer animation, future"
2320,3.6425567072254768,Sunshine,Adventure|Drama|Sci-Fi|Thriller,2007,"astronauts, future, futuristic, sci fi, sci-fi, science, science fiction, scifi, space, technology","astronauts, future, futuristic, sci fi, sci-fi, science, science fiction, scifi, space, technology"
2322,3.2480211081794197,"Hoax, The",Crime|Drama,2007,true story,true story
2324,2.86105476673428,Perfect Stranger,Crime|Drama|Mystery|Thriller,2007,murder,murder
2325,2.2450980392156863,Redline,Action,2007,"horrible, violence","horrible, violence"
2327,3.2447552447552446,In the Land of Women,Comedy|Drama|Romance,2007,"cancer, coming of age","cancer, coming of age"
2328,3.12875,"Invisible, The",Crime|Drama|Fantasy|Mystery|Thriller,2007,"teen, teen movie, teenager, teens","teen, teen movie, teenager, teens"
2329,2.857317073170732,"Condemned, The",Action|Adventure|Crime|Thriller,2007,"death, violence","death, violence"
2330,2.88004921928038,Spider-Man 3,Action|Adventure|Sci-Fi|Thriller|IMAX,2007,"comic book, comic book adaption, comics, dynamic cgi action, horrible","comic book, comic book adaption, comics, dynamic cgi action, horrible"
2332,2.6108786610878663,"Ex, The",Comedy|Romance,2007,workplace,workplace
2334,3.315815815815816,Hairspray,Comedy|Drama|Musical,2007,"musical, music, teen movie","musical, music, teen movie"
2335,3.4597687007874014,28 Weeks Later,Horror|Sci-Fi|Thriller,2007,"blood, gory, violence","blood, gory, violence"
2336,2.962046204620462,Georgia Rule,Comedy|Drama|Romance,2007,teenager,teenager
2338,3.395484477892756,Pirates of the Caribbean: At World's End,Action|Adventure|Comedy|Fantasy,2007,adventure,adventure
2339,3.640302613480055,Mr. Brooks,Crime|Drama|Thriller,2007,"murder, serial killer","murder, serial killer"
2344,2.6503461918892186,Hostel: Part II,Crime|Horror|Thriller,2007,"bloody, gruesome, gory, violence","bloody, gruesome, gory, violence"
2345,3.274353876739563,Paranoid Park,Crime|Drama,2007,teenager,teenager
2346,3.212324929971989,Surf's Up,Animation|Children|Comedy,2007,"animation, computer animation, oscar (best animated feature)","animation, computer animation, oscar (best animated feature)"
2347,3.5498673326049635,Death Proof,Action|Adventure|Crime|Horror|Thriller,2007,"bloody, gratuitous violence, violent, gory, violence","bloody, gratuitous violence, violent, gory, violence"
2352,3.6002772643253236,Sicko,Documentary|Drama,2007,"business, doctors, hospital, political, politics","business, doctors, hospital, political, politics"
2353,3.238372093023256,"Mighty Heart, A",Drama|Thriller,2007,"politics, terrorism","politics, terrorism"
2354,3.6910157830837718,Death at a Funeral,Comedy,2007,funny,funny
2355,3.42992941712204,Live Free or Die Hard,Action|Adventure|Crime|Thriller,2007,"technology, violence","technology, violence"
2356,2.703693570451436,Evan Almighty,Comedy|Fantasy,2007,funny,funny
2357,3.056202110741651,Transformers,Action|Sci-Fi|Thriller|IMAX,2007,"alien, aliens, dynamic cgi action, man versus machine, robot, robots, sci-fi, science fiction, scifi, technology","alien, aliens, dynamic cgi action, man versus machine, robot, robots, sci-fi, science fiction, scifi, technology"
2358,2.7651734104046244,I Now Pronounce You Chuck and Larry,Comedy|Romance,2007,funny,funny
2361,3.4789959016393444,Hot Rod,Comedy,2007,funniest movies,funniest movies
2362,1.5673076923076923,Who's Your Caddy?,Comedy,2007,"horrible, stupid as hell","horrible, stupid as hell"
2363,2.240740740740741,Skinwalkers,Horror|Thriller,2007,blood,blood
2364,3.3896637222997055,"Simpsons Movie, The",Animation|Comedy,2007,"cartoon, funny","cartoon, funny"
2365,1.8507462686567164,I Know Who Killed Me,Crime|Drama|Thriller,2007,horrible,horrible
2366,2.445901639344262,Underdog,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,2007,cartoon,cartoon
2367,3.9089132134480065,"Bourne Ultimatum, The",Action|Crime|Thriller,2007,"cia, spies, spying, spy","cia, spies, spying, spy"
2368,1.5427509293680297,Bratz: The Movie,Comedy,2007,"horrible, teen, teen movie, teenager, teens","horrible, teen, teen movie, teenager, teens"
2371,3.769268872597583,Superbad,Comedy,2007,"coming-of-age, funniest movies, funny, geeks, nerds, teen, teen movie, teenager, teenagers, teens, coming of age","coming-of-age, funniest movies, funny, geeks, nerds, teen, teen movie, teenager, teenagers, teens, coming of age"
2372,3.315985130111524,Sydney White,Comedy,2007,"college, geeks, teen, teen movie","college, geeks, teen, teen movie"
2373,3.5125219683655535,"Kingdom, The",Action|Drama|Thriller,2007,"terrorism, violence","terrorism, violence"
2374,2.1403508771929824,Daddy Day Camp,Children|Comedy,2007,horrible,horrible
2375,3.012207527975585,"Invasion, The",Action|Drama|Horror|Sci-Fi|Thriller,2007,"alien, alien invasion, aliens, sci-fi, science fiction, space","alien, alien invasion, aliens, sci-fi, science fiction, space"
2376,2.978742249778565,Halloween,Horror,2007,"serial killer, teens","serial killer, teens"
2377,3.8385531539479487,"King of Kong, The",Documentary,2007,video game,video game
2379,3.301526717557252,"Nines, The",Drama|Mystery,2007,"confusing, metaphysics, mindfuck","confusing, metaphysics, mindfuck"
2380,3.4933039984694854,Planet Terror,Action|Horror|Sci-Fi,2007,"blood, bloody, gore, stupid as hell, violent, gory, violence","blood, bloody, gore, stupid as hell, violent, gory, violence"
2381,3.7257194244604315,3:10 to Yuma,Action|Crime|Drama|Western,2007,violent,violent
2382,3.289949385394071,Shoot 'Em Up,Action|Comedy|Crime,2007,violence,violence
2383,3.757095709570957,Atonement,Drama|Romance|War,2007,"cinematography, oscar (best picture), wartime","cinematography, oscar (best picture), wartime"
2385,3.821243523316062,No End in Sight,Documentary,2007,"military, politics, weapons","military, politics, weapons"
2386,3.270625,"Brave One, The",Crime|Drama|Thriller,2007,violence,violence
2387,3.5581896551724137,In the Valley of Elah,Drama|Mystery,2007,"murder, police investigation, war, detective, murder mystery","murder, police investigation, war, detective, murder mystery"
2388,3.358736059479554,"Hunting Party, The",Action|Adventure|Comedy|Drama|Thriller,2007,"united nations, war, war movie","united nations, war, war movie"
2389,2.9183673469387754,Brooklyn Rules,Crime|Drama|Romance,2007,organized crime,organized crime
2391,3.88,In the Shadow of the Moon,Documentary,2007,"astronauts, nasa, space","astronauts, nasa, space"
2393,2.9407894736842106,The Death and Life of Bobby Z,Action|Crime|Drama|Thriller,2007,violence,violence
2394,3.0990242616033754,Resident Evil: Extinction,Action|Horror|Sci-Fi|Thriller,2007,"clones, video game","clones, video game"
2395,2.8005902192242833,Good Luck Chuck,Comedy|Romance,2007,funny,funny
2396,3.7555555555555555,"Lust, Caution (Se, jie)",Drama|Romance|Thriller|War,2007,wartime,wartime
2397,2.627853881278539,Postal,Action|Comedy|Thriller,2007,video game,video game
2398,2.7438524590163933,"Seeker: The Dark Is Rising, The",Action|Adventure|Drama|Fantasy,2007,"adventure, mythology","adventure, mythology"
2399,2.8137135922330097,"Heartbreak Kid, The",Comedy|Drama|Romance,2007,funny,funny
2400,3.685254027261462,Lars and the Real Girl,Comedy|Drama,2007,mental illness,mental illness
2401,3.1642656359803234,30 Days of Night,Horror|Thriller,2007,blood,blood
2402,3.809135399673736,Gone Baby Gone,Crime|Drama|Mystery,2007,"crime, detective, police, police corruption, police investigation","crime, detective, police, police corruption, police investigation"
2403,2.059322033898305,"Comebacks, The",Comedy,2007,"stupid, stupidity","stupid, stupidity"
2406,3.3076923076923075,Beaufort,Action|Drama|War,2007,"military, war","military, war"
2407,3.4646464646464645,Irina Palm,Drama,2007,"hospital, workplace","hospital, workplace"
2408,3.7974726775956285,Control,Drama,2007,"cinematography, musicians, music","cinematography, musicians, music"
2410,3.5973282442748094,My Kid Could Paint That,Documentary,2007,"art, artist, artistic","art, artist, artistic"
2411,3.984016208914903,Elite Squad (Tropa de Elite),Action|Crime|Drama|Thriller,2007,"crime, narrated, organized crime, police, police corruption, political corruption, realistic, violent, violence","crime, narrated, organized crime, police, police corruption, political corruption, realistic, violent, violence"
2413,3.233153638814016,King of California,Comedy,2007,insanity,insanity
2414,3.8102018385291765,American Gangster,Crime|Drama|Thriller,2007,"crime, organized crime, police corruption, police investigation, true story, violent, undercover cop","crime, organized crime, police corruption, police investigation, true story, violent, undercover cop"
2415,2.7442852788783907,Bee Movie,Animation|Comedy,2007,"animated, animation, cartoon, computer animation","animated, animation, cartoon, computer animation"
2416,4.053054375379342,No Country for Old Men,Crime|Drama,2007,"cinematography, crime, gratuitous violence, imdb top 250, masterpiece, oscar (best picture), serial killer, violent, oscar, violence","cinematography, crime, gratuitous violence, imdb top 250, masterpiece, oscar (best picture), serial killer, violent, oscar, violence"
2418,2.865822424587365,Beowulf,Action|Adventure|Animation|Fantasy|IMAX,2007,"adventure, animation, computer animation, mythology","adventure, animation, computer animation, mythology"
2419,3.1732435033686235,Mr. Magorium's Wonder Emporium,Children|Comedy|Fantasy,2007,fairy tale,fairy tale
2422,3.538763066202091,"Mist, The",Horror|Sci-Fi,2007,stupid as hell,stupid as hell
2423,3.4727190605239384,Enchanted,Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance,2007,"animation, cartoon, fairy tale, fairy tales, fun","animation, cartoon, fairy tale, fairy tales, fun"
2424,2.950588730025231,Hitman,Action|Crime|Thriller,2007,video game,video game
2425,2.7615658362989324,P2,Horror|Thriller,2007,violence,violence
2426,3.064202795546079,"Golden Compass, The",Adventure|Children|Fantasy,2007,adventure,adventure
2427,3.5215315528243916,I Am Legend,Action|Horror|Sci-Fi|Thriller|IMAX,2007,mutants,mutants
2428,3.7256444593237363,"Orphanage, The (Orfanato, El)",Drama|Horror|Mystery|Thriller,2007,scary,scary
2429,3.7125261212023792,Juno,Comedy|Drama|Romance,2007,"teen, teen movie, teenager, teenagers, teens, coming of age","teen, teen movie, teenager, teenagers, teens, coming of age"
2430,3.687258687258687,Helvetica,Documentary,2007,"graphic design, very interesting","graphic design, very interesting"
2431,3.581267217630854,"Bucket List, The",Comedy|Drama,2007,"death, terminal illness, cancer","death, terminal illness, cancer"
2432,3.2149532710280373,Butterfly on a Wheel (Shattered),Crime|Drama|Thriller,2007,stupid as hell,stupid as hell
2433,3.5467625899280577,"Go-Getter, The",Comedy|Drama,2007,coming of age,coming of age
2434,2.8051948051948052,"Flock, The",Crime|Drama|Mystery|Thriller,2007,violence,violence
2436,3.4566012637179915,Sweeney Todd: The Demon Barber of Fleet Street,Drama|Horror|Musical|Thriller,2007,"bloody, musical, music","bloody, musical, music"
2437,3.2528054862842892,National Treasure: Book of Secrets,Action|Adventure,2007,"adventure, secret service, entertaining","adventure, secret service, entertaining"
2438,4.0334810126582274,There Will Be Blood,Drama|Western,2007,"cinematography, imdb top 250, masterpiece, oscar (best picture), oscar","cinematography, imdb top 250, masterpiece, oscar (best picture), oscar"
2439,3.6316093614562264,Charlie Wilson's War,Comedy|Drama|War,2007,"political, politics, true story, weapons","political, politics, true story, weapons"
2440,2.43240304458137,AVPR: Aliens vs. Predator - Requiem,Action|Horror|Sci-Fi,2007,"alien, alien invasion, aliens, sci fi, sci-fi, science fiction, scifi","alien, alien invasion, aliens, sci fi, sci-fi, science fiction, scifi"
2441,3.3778443113772454,Walk Hard: The Dewey Cox Story,Comedy|Musical,2007,"funny, music business, musicians","funny, music business, musicians"
2442,3.4809597523219815,P.S. I Love You,Comedy|Drama|Romance,2007,cancer,cancer
2444,3.9885844748858448,Like Stars on Earth (Taare Zameen Par),Drama,2007,"boarding school, teacher","boarding school, teacher"
2445,1.8411371237458194,D-War (Dragon Wars),Action|Adventure|Drama|Fantasy,2007,horrible,horrible
2446,3.75,"Band's Visit, The (Bikur Ha-Tizmoret)",Comedy|Drama,2007,"musicians, music","musicians, music"
2447,3.709019091507571,[REC],Drama|Horror|Thriller,2007,scary,scary
2448,3.386861313868613,Flawless,Crime|Drama,2007,heist,heist
2449,3.3362040948976275,Cloverfield,Action|Mystery|Sci-Fi|Thriller,2008,alien,alien
2450,2.847058823529412,Mad Money,Comedy|Crime|Thriller,2008,heist,heist
2454,3.294787847040335,Rambo (Rambo 4),Action|Drama|Thriller|War,2008,"bloody, gratuitous violence, gory, violent, visceral, violence","bloody, gratuitous violence, gory, violent, visceral, violence"
2455,1.6237201365187712,Meet the Spartans,Comedy,2008,"horrible, idiotic, stupid, stupid as hell, stupidity, lame, funny as hell","horrible, idiotic, stupid, stupid as hell, stupidity, lame, funny as hell"
2456,2.727626459143969,Over Her Dead Body,Comedy|Fantasy|Romance,2008,funny,funny
2458,3.1507936507936507,"Signal, The",Horror|Sci-Fi|Thriller,2007,"insanity, violence","insanity, violence"
2459,3.3404945904173107,Hellboy II: The Golden Army,Action|Adventure|Fantasy|Sci-Fi,2008,"adventure, comic book, dynamic cgi action, fairy tale, graphic novel, mythology, good versus evil","adventure, comic book, dynamic cgi action, fairy tale, graphic novel, mythology, good versus evil"
2462,3.066552343622407,Jumper,Action|Adventure|Drama|Sci-Fi|Thriller,2008,"sci-fi, teleportation","sci-fi, teleportation"
2463,3.3962264150943398,It's a Free World...,Drama,2007,"working class, workplace","working class, workplace"
2464,3.264387604525332,Vantage Point,Action|Drama|Thriller,2008,"secret service, terrorism","secret service, terrorism"
2465,3.059021113243762,Step Up 2 the Streets,Drama|Musical|Romance,2008,teen movie,teen movie
2466,3.6314285714285712,Jodhaa Akbar,Drama|Musical|Romance|War,2008,"cinematography, epic, imdb top 250","cinematography, epic, imdb top 250"
2467,1.7095238095238094,Witless Protection,Comedy,2008,idiotic,idiotic
2468,3.230288836846214,Run Fatboy Run,Comedy|Romance,2007,funny,funny
2469,3.7507246376811594,Taxi to the Dark Side,Documentary,2007,politics,politics
2471,3.2275449101796405,Grace Is Gone,Drama,2007,death,death
2472,2.531975867269985,"10,000 BC",Adventure|Romance|Thriller,2008,"adventure, mythology","adventure, mythology"
2473,3.5982479784366577,"Bank Job, The",Action|Crime|Thriller,2008,"crime, heist, police corruption, political corruption, true story","crime, heist, police corruption, political corruption, true story"
2474,2.9402061855670105,Doomsday,Action|Drama|Sci-Fi|Thriller,2008,"future, futuristic, sci-fi, violence","future, futuristic, sci-fi, violence"
2475,3.2566520714045133,Horton Hears a Who!,Adventure|Animation|Children|Comedy,2008,"animation, computer animation","animation, computer animation"
2476,3.4215328467153285,Funny Games U.S.,Drama|Thriller,2007,"gratuitous violence, violence","gratuitous violence, violence"
2477,3.9053682037164488,"Counterfeiters, The (Die Fälscher)",Crime|Drama|War,2007,true story,true story
2478,3.613408521303258,Mongol,Drama|War,2007,"cinematography, epic","cinematography, epic"
2479,1.9706806282722513,"Love Guru, The",Comedy,2008,"dumb but funny, horrible, stupid, stupidity","dumb but funny, horrible, stupid, stupidity"
2480,3.4375,Hallam Foe (Mister Foe),Drama|Romance,2007,"coming-of-age, coming of age","coming-of-age, coming of age"
2482,3.3615702479338845,Zeitgeist: The Movie,Documentary|War,2007,"factual, manipulation","factual, manipulation"
2484,4.040909090909091,Heima,Documentary,2007,"artistic, musicians, music","artistic, musicians, music"
2485,3.816017316017316,"Class, The (Klass)",Drama,2007,"bullying, school, violence","bullying, school, violence"
2486,3.427710843373494,"Hammer, The",Comedy,2007,funny,funny
2487,3.3062593144560357,Never Back Down,Action,2008,"teen, teen movie","teen, teen movie"
2488,3.163157894736842,CJ7 (Cheung Gong 7 hou),Children|Comedy|Sci-Fi,2008,"alien, aliens, bullying","alien, aliens, bullying"
2489,2.705218617771509,Drillbit Taylor,Comedy,2008,"geeks, teen, teen movie, teens, bullying","geeks, teen, teen movie, teens, bullying"
2490,3.016260162601626,Youth Without Youth,Drama|Romance|Sci-Fi,2007,"intellectual, metaphysics","intellectual, metaphysics"
2491,3.5055508112724167,21,Crime|Drama|Romance|Thriller,2008,"con artists, math, true story","con artists, math, true story"
2493,3.188340807174888,Stop-Loss,Drama|War,2008,"military, war, war movie","military, war, war movie"
2494,3.447004608294931,Shine a Light,Documentary|Musical|IMAX,2008,"musicians, music","musicians, music"
2495,3.263157894736842,"Aerial, The (La antena)",Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi,2007,allegory,allegory
2496,3.0349397590361447,Nim's Island,Adventure|Comedy|Fantasy,2008,adventure,adventure
2497,2.907702523240372,"Ruins, The",Horror|Thriller,2008,stupid as hell,stupid as hell
2498,3.668269230769231,Joy Division,Documentary|Musical,2007,"musicians, music","musicians, music"
2499,3.5759009462452185,Forgetting Sarah Marshall,Comedy|Romance,2008,funny,funny
2500,2.288,Superhero Movie,Action|Comedy|Sci-Fi,2008,"dumb but funny, stupid","dumb but funny, stupid"
2501,3.3079545454545456,Street Kings,Crime|Drama|Thriller,2008,"crime, murder, police, police corruption, violent, detective, undercover cop, violence","crime, murder, police, police corruption, violent, detective, undercover cop, violence"
2502,3.1408304498269897,Harold & Kumar Escape from Guantanamo Bay,Adventure|Comedy,2008,funny,funny
2503,3.53830985915493,Religulous,Comedy|Documentary,2008,intellectual,intellectual
2504,3.5164383561643837,Son of Rambow,Children|Comedy|Drama,2007,"bullying, coming of age","bullying, coming of age"
2505,3.0492170022371363,Baby Mama,Comedy,2008,funny,funny
2506,2.1374269005847952,Expelled: No Intelligence Allowed,Documentary,2008,science,science
2507,2.1333333333333333,Prom Night,Horror|Mystery|Thriller,2008,"serial killer, stupid, teen, teens","serial killer, stupid, teen, teens"
2508,3.825441161115172,Iron Man,Action|Adventure|Sci-Fi,2008,"comic book, comic book adaption, comics, dynamic cgi action, weapons, entertaining, good versus evil, technology","comic book, comic book adaption, comics, dynamic cgi action, weapons, entertaining, good versus evil, technology"
2509,2.9361702127659575,Anamorph,Crime|Thriller,2007,"murder, police investigation, serial killer, detective","murder, police investigation, serial killer, detective"
2510,3.732104186717998,Taken,Action|Crime|Drama|Thriller,2008,violence,violence
2512,3.590185676392573,"American Crime, An",Crime,2007,"hard to watch, true story","hard to watch, true story"
2513,3.0273972602739727,What Happens in Vegas...,Comedy|Romance,2008,funny,funny
2514,3.1934997847610846,"Chronicles of Narnia: Prince Caspian, The",Adventure|Children|Fantasy,2008,"adventure, fairy tale, mythology","adventure, fairy tale, mythology"
2515,3.246498599439776,"Girl Next Door, The",Crime|Drama|Horror|Thriller,2007,hard to watch,hard to watch
2516,3.3,How to Rob a Bank,Comedy|Crime|Mystery|Thriller,2007,crime gone awry,crime gone awry
2518,3.0973333333333333,"Oxford Murders, The",Crime|Mystery|Romance|Thriller,2007,"murder, mystery, serial killer, mathematics, murder mystery","murder, mystery, serial killer, mathematics, murder mystery"
2519,3.139928057553957,"Strangers, The",Horror|Thriller,2008,scary,scary
2522,2.5725,You Don't Mess with the Zohan,Comedy,2008,"funny, stupidity","funny, stupidity"
2524,3.125,Spiral,Drama|Horror|Thriller,2007,serial killer,serial killer
2525,3.1014977101126378,"Incredible Hulk, The",Action|Sci-Fi,2008,"comic book, comics, dynamic cgi action, mutants, good versus evil, technology","comic book, comics, dynamic cgi action, mutants, good versus evil, technology"
2526,4.013953322389551,WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008,"animated, animation, artificial intelligence, computer animation, future, futuristic, imdb top 250, oscar (best animated feature), robot, robots, space, technology","animated, animation, artificial intelligence, computer animation, future, futuristic, imdb top 250, oscar (best animated feature), robot, robots, space, technology"
2527,3.226249654791494,Wanted,Action|Thriller,2008,"comic book, graphic novel, stupid as hell, violence","comic book, graphic novel, stupid as hell, violence"
2528,3.164461247637051,Get Smart,Action|Comedy,2008,"secret service, spying, spy, funny","secret service, spying, spy, funny"
2530,3.0620915032679736,St. Trinian's,Children|Comedy,2007,"boarding school, school","boarding school, school"
2531,3.864064602960969,Encounters at the End of the World,Documentary,2008,"environment, narrated, very interesting","environment, narrated, very interesting"
2532,2.792207792207792,Dante 01,Sci-Fi|Thriller,2008,"futuristic, sci fi, sci-fi, science fiction, scifi, space","futuristic, sci fi, sci-fi, science fiction, scifi, space"
2533,3.463302752293578,Roman Polanski: Wanted and Desired,Documentary,2008,"lawyer, lawyers","lawyer, lawyers"
2534,3.2569444444444446,Battle for Haditha,War,2007,"factual, military, war, weapons","factual, military, war, weapons"
2535,3.1206461961503207,Mamma Mia!,Comedy|Musical|Romance,2008,musical,musical
2536,3.6494755244755246,Welcome to the Sticks (Bienvenue chez les Ch'tis),Comedy,2008,funny,funny
2537,2.2265625,Dark Floors,Fantasy|Horror,2008,hospital,hospital
2538,2.55,Sublime,Horror|Thriller,2007,hospital,hospital
2539,3.2866666666666666,Towelhead (a.k.a. Nothing is Private),Drama,2007,"coming-of-age, coming of age","coming-of-age, coming of age"
2540,3.455263157894737,Katyn,Drama|War,2007,"war, wartime","war, wartime"
2541,2.852167559668777,Journey to the Center of the Earth,Action|Adventure|Sci-Fi,2008,"adventure, dinosaurs","adventure, dinosaurs"
2542,2.4531516183986373,Meet Dave,Adventure|Children|Comedy|Romance|Sci-Fi,2008,"alien, alien invasion, aliens, sci-fi, scifi, space","alien, alien invasion, aliens, sci-fi, scifi, space"
2543,2.8369565217391304,"Machine Girl, The (Kataude mashin gâru)",Action|Comedy|Fantasy|Horror|Thriller,2008,"blood, bloody, gore, goretastic, gratuitous violence, violent, gory, violence","blood, bloody, gore, goretastic, gratuitous violence, violent, gory, violence"
2544,3.455399061032864,Water Lilies (Naissance des pieuvres),Drama,2007,"coming-of-age, teen, teen movie, teenager, teenagers, teens, coming of age","coming-of-age, teen, teen movie, teenager, teenagers, teens, coming of age"
2546,3.31241655540721,Transsiberian,Crime|Drama|Thriller,2008,"crime, police investigation","crime, police investigation"
2547,2.0475113122171944,Space Chimps,Adventure|Animation|Comedy,2008,"alien, animated, animation, cartoon, space","alien, animated, animation, cartoon, space"
2548,3.6913142857142858,Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,2009,"comic book, comics, dynamic cgi action, graphic novel, violent, violence","comic book, comics, dynamic cgi action, graphic novel, violent, violence"
2549,3.4967339667458432,Step Brothers,Comedy,2008,"dumb but funny, funniest movies, funny","dumb but funny, funniest movies, funny"
2550,2.9516689847009734,"X-Files: I Want to Believe, The",Drama|Mystery|Sci-Fi|Thriller,2008,alien,alien
2551,3.3895705521472395,American Teen,Documentary,2008,"geek, geeks, bullying, teen, teen movie, teenager, teenagers, teens","geek, geeks, bullying, teen, teen movie, teenager, teenagers, teens"
2552,3.823322932917317,Man on Wire,Documentary,2008,artistic,artistic
2553,3.36734693877551,"Zone, The (La Zona)",Drama|Thriller,2007,crime,crime
2554,3.218978102189781,"Edge of Love, The",Drama|Romance|War,2008,wartime,wartime
2555,2.6537777777777776,"Mummy: Tomb of the Dragon Emperor, The",Action|Adventure|Fantasy|Thriller,2008,"adventure, mythology","adventure, mythology"
2556,2.88086642599278,Swing Vote,Comedy|Drama,2008,"political, politics","political, politics"
2557,2.985407066052227,"Midnight Meat Train, The",Horror|Mystery|Thriller,2008,"blood, bloody, gore, gory, serial killer, violence","blood, bloody, gore, gory, serial killer, violence"
2558,3.597734627831715,Vicky Cristina Barcelona,Comedy|Drama|Romance,2008,narrated,narrated
2559,3.6003210272873196,Red Cliff (Chi bi),Action|Adventure|Drama|War,2008,"epic, war","epic, war"
2560,3.4952380952380953,Silent Light (Stellet licht),Drama,2007,art house,art house
2561,3.161985018726592,"Sisterhood of the Traveling Pants 2, The",Adventure|Comedy|Drama|Romance,2008,teen movie,teen movie
2562,2.5641952983725136,High School Musical 2,Comedy|Drama|Musical|Romance,2007,"musical, teen movie, teenager, music","musical, teen movie, teenager, music"
2563,3.4279649534820704,Tropic Thunder,Action|Adventure|Comedy|War,2008,"funniest movies, funny","funniest movies, funny"
2564,2.8134328358208953,"Objective, The",Horror|Sci-Fi|Thriller|War,2008,mythology,mythology
2565,3.8786169691025014,Waltz with Bashir (Vals im Bashir),Animation|Documentary|Drama|War,2008,"animated, animation, war, war movie","animated, animation, war, war movie"
2566,3.9450286170637563,Let the Right One In (Låt den rätte komma in),Drama|Fantasy|Horror|Romance,2008,"cinematography, imdb top 250, violent, visceral, bullying, coming of age, violence","cinematography, imdb top 250, violent, visceral, bullying, coming of age, violence"
2567,3.0909980430528377,Death Race,Action|Adventure|Sci-Fi|Thriller,2008,"prison escape, video game, prison, violence","prison escape, video game, prison, violence"
2568,2.8424449506454064,"House Bunny, The",Comedy,2008,teen movie,teen movie
2569,3.6603053435114505,I.O.U.S.A. (a.k.a. IOUSA),Documentary,2008,"political, politics","political, politics"
2570,1.940217391304348,Fly Me to the Moon,Adventure|Animation|Children|IMAX,2008,"animated, animation, astronauts, cartoon, computer animation, nasa, space","animated, animation, astronauts, cartoon, computer animation, nasa, space"
2571,3.5685655883398506,Burn After Reading,Comedy|Crime|Drama,2008,crime gone awry,crime gone awry
